Time,x,Y,Z
2016-05-21 00:16:10.268292,48006.67,1640,3040
2016-05-21 00:16:10.276422,48006.67,1640,3040
2016-05-21 00:16:10.284552,48006.67,1640,3040
2016-05-21 00:16:10.292682,48020,1640,3040
2016-05-21 00:16:10.300813,48020,1640,3040
2016-05-21 00:16:10.308943,48020,1640,3040
2016-05-21 00:16:10.317073,48020,1640,3040
2016-05-21 00:16:10.325203,48026.67,1640,3040
2016-05-21 00:16:10.333333,48026.67,1640,3040
2016-05-21 00:16:10.341463,48026.67,1640,3046.67
2016-05-21 00:16:10.349593,48026.67,1640,3046.67
2016-05-21 00:16:10.357723,48026.67,1640,3046.67
2016-05-21 00:16:10.365853,48020,1640,3046.67
2016-05-21 00:16:10.373983,48026.67,1640,3046.67
2016-05-21 00:16:10.382113,48020,1640,3046.67
2016-05-21 00:16:10.390243,48020,1640,3046.67
2016-05-21 00:16:10.398373,48020,1633.33,3046.67
2016-05-21 00:16:10.406504,48006.67,1633.33,3046.67
2016-05-21 00:16:10.414634,48006.67,1640,3046.67
2016-05-21 00:16:10.422764,48006.67,1633.33,3046.67
2016-05-21 00:16:10.430894,48000,1633.33,3046.67
2016-05-21 00:16:10.439024,48000,1640,3046.67
2016-05-21 00:16:10.447154,48000,1633.33,3046.67
2016-05-21 00:16:10.455284,47993.33,1633.33,3046.67
2016-05-21 00:16:10.463414,47993.33,1633.33,3046.67
2016-05-21 00:16:10.471544,47993.33,1633.33,3046.67
2016-05-21 00:16:10.479674,47993.33,1633.33,3046.67
2016-05-21 00:16:10.487804,47986.67,1633.33,3046.67
2016-05-21 00:16:10.495934,47986.67,1633.33,3046.67
2016-05-21 00:16:10.504065,47986.67,1633.33,3046.67
2016-05-21 00:16:10.512195,47986.67,1633.33,3046.67
2016-05-21 00:16:10.520325,47986.67,1633.33,3046.67
2016-05-21 00:16:10.528455,47986.67,1633.33,3040
2016-05-21 00:16:10.536585,47993.33,1640,3040
2016-05-21 00:16:10.544715,47993.33,1640,3040
2016-05-21 00:16:10.552845,47993.33,1640,3040
2016-05-21 00:16:10.560975,47993.33,1640,3040
2016-05-21 00:16:10.569105,48000,1640,3040
2016-05-21 00:16:10.577235,48000,1640,3040
2016-05-21 00:16:10.585365,48000,1640,3040
2016-05-21 00:16:10.593495,48000,1640,3040
2016-05-21 00:16:10.601626,48006.67,1640,3040
2016-05-21 00:16:10.609756,48020,1640,3040
2016-05-21 00:16:10.617886,48020,1640,3040
2016-05-21 00:16:10.626016,48020,1640,3040
2016-05-21 00:16:10.634146,48020,1640,3040
2016-05-21 00:16:10.642276,48020,1640,3040
2016-05-21 00:16:10.650406,48026.67,1640,3040
2016-05-21 00:16:10.658536,48026.67,1640,3040
2016-05-21 00:16:10.666666,48026.67,1640,3040
2016-05-21 00:16:10.674796,48026.67,1633.33,3046.67
2016-05-21 00:16:10.682926,48026.67,1633.33,3046.67
2016-05-21 00:16:10.691056,48026.67,1633.33,3040
2016-05-21 00:16:10.699186,48026.67,1633.33,3046.67
2016-05-21 00:16:10.707317,48020,1640,3046.67
2016-05-21 00:16:10.715447,48006.67,1640,3046.67
2016-05-21 00:16:10.723577,48006.67,1633.33,3046.67
2016-05-21 00:16:10.731707,48006.67,1633.33,3046.67
2016-05-21 00:16:10.739837,48006.67,1633.33,3046.67
2016-05-21 00:16:10.747967,48006.67,1633.33,3046.67
2016-05-21 00:16:10.756097,48000,1633.33,3046.67
2016-05-21 00:16:10.764227,48000,1633.33,3046.67
2016-05-21 00:16:10.772357,48000,1633.33,3046.67
2016-05-21 00:16:10.780487,47993.33,1633.33,3046.67
2016-05-21 00:16:10.788617,47993.33,1633.33,3046.67
2016-05-21 00:16:10.796747,47986.67,1633.33,3046.67
2016-05-21 00:16:10.804878,47986.67,1633.33,3046.67
2016-05-21 00:16:10.813008,47986.67,1633.33,3046.67
2016-05-21 00:16:10.821138,47986.67,1633.33,3046.67
2016-05-21 00:16:10.829268,47986.67,1633.33,3046.67
2016-05-21 00:16:10.837398,47986.67,1633.33,3046.67
2016-05-21 00:16:10.845528,47986.67,1633.33,3046.67
2016-05-21 00:16:10.853658,47986.67,1633.33,3040
2016-05-21 00:16:10.861788,47993.33,1633.33,3040
2016-05-21 00:16:10.869918,47993.33,1633.33,3046.67
2016-05-21 00:16:10.878048,48000,1640,3046.67
2016-05-21 00:16:10.886178,48000,1640,3040
2016-05-21 00:16:10.894308,48000,1640,3040
2016-05-21 00:16:10.902439,48006.67,1633.33,3040
2016-05-21 00:16:10.910569,48006.67,1633.33,3040
2016-05-21 00:16:10.918699,48006.67,1640,3040
2016-05-21 00:16:10.926829,48020,1640,3040
2016-05-21 00:16:10.934959,48020,1640,3040
2016-05-21 00:16:10.943089,48020,1640,3040
2016-05-21 00:16:10.951219,48020,1640,3040
2016-05-21 00:16:10.959349,48026.67,1640,3040
2016-05-21 00:16:10.967479,48026.67,1640,3040
2016-05-21 00:16:10.975609,48026.67,1640,3040
2016-05-21 00:16:10.983739,48026.67,1640,3040
2016-05-21 00:16:10.991869,48026.67,1640,3040
2016-05-21 00:16:12.000000,48026.67,1640,3040
2016-05-21 00:16:12.008130,48026.67,1640,3046.67
2016-05-21 00:16:12.016260,48026.67,1640,3046.67
2016-05-21 00:16:12.024390,48020,1640,3046.67
2016-05-21 00:16:12.032520,48020,1640,3046.67
2016-05-21 00:16:12.040650,48006.67,1633.33,3046.67
2016-05-21 00:16:12.048780,48006.67,1633.33,3046.67
2016-05-21 00:16:12.056910,48006.67,1633.33,3046.67
2016-05-21 00:16:12.065040,48006.67,1633.33,3046.67
2016-05-21 00:16:12.073170,48000,1633.33,3046.67
2016-05-21 00:16:12.081300,48000,1633.33,3046.67
2016-05-21 00:16:12.089430,48000,1633.33,3046.67
2016-05-21 00:16:12.097560,48000,1633.33,3046.67
2016-05-21 00:16:12.105691,47993.33,1633.33,3046.67
2016-05-21 00:16:12.113821,47993.33,1633.33,3046.67
2016-05-21 00:16:12.121951,47993.33,1633.33,3046.67
2016-05-21 00:16:12.130081,47993.33,1633.33,3046.67
2016-05-21 00:16:12.138211,47986.67,1633.33,3040
2016-05-21 00:16:12.146341,47986.67,1633.33,3040
2016-05-21 00:16:12.154471,47986.67,1633.33,3046.67
2016-05-21 00:16:12.162601,47986.67,1633.33,3046.67
2016-05-21 00:16:12.170731,47993.33,1633.33,3046.67
2016-05-21 00:16:12.178861,47993.33,1633.33,3046.67
2016-05-21 00:16:12.186991,47993.33,1633.33,3046.67
2016-05-21 00:16:12.195121,47993.33,1633.33,3046.67
2016-05-21 00:16:12.203252,47993.33,1640,3040
2016-05-21 00:16:12.211382,48000,1640,3040
2016-05-21 00:16:12.219512,48000,1640,3040
2016-05-21 00:16:12.227642,48000,1640,3040
2016-05-21 00:16:12.235772,48006.67,1640,3040
2016-05-21 00:16:12.243902,48006.67,1633.33,3040
2016-05-21 00:16:12.252032,48020,1633.33,3040
2016-05-21 00:16:12.260162,48020,1640,3040
2016-05-21 00:16:12.268292,48020,1640,3040
2016-05-21 00:16:12.276422,48020,1640,3040
2016-05-21 00:16:12.284552,48026.67,1640,3040
